UserID,frequency,recency,monetary_value,norm_frequency,norm_recency,norm_monetary_value,group
5280,1.0,4607,75.0,1.95148605663e-05,0.0001212273449,7.04639927431e-05,0
5330,11.0,884,997.727272727,0.00021466346623,2.32613355527e-05,0.000937384630734,5
5340,8.0,1528,25.625,0.000156118884531,4.02073763853e-05,2.40751975205e-05,2
5390,9.0,1528,49.4444444444,0.000175633745097,4.02073763853e-05,4.64540396602e-05,2
5410,2.0,3760,35.0,3.90297211326e-05,9.89396172831e-05,3.28831966134e-05,0
5430,2.0,1032,52.5,3.90297211326e-05,2.71557672969e-05,4.93247949202e-05,4
5480,8.0,1102,81.25,0.000156118884531,2.89977282569e-05,7.63359921383e-05,2
5520,2.0,4085,100.0,3.90297211326e-05,0.000107491578883,9.39519903241e-05,7
5530,11.0,1967,36.3636363636,0.00021466346623,5.17591029776e-05,3.41643601179e-05,2
5540,6.0,1613,83.3333333333,0.000117089163398,4.24440432653e-05,7.82933252701e-05,2
5560,11.0,1151,68.1818181818,0.00021466346623,3.0287100929e-05,6.4058175221e-05,2
5570,4.0,3610,37.5,7.80594422653e-05,9.4992558083e-05,3.52319963715e-05,0
5580,1.0,4495,15.0,1.95148605663e-05,0.000118280207364,1.40927985486e-05,0
5630,1.0,4235,100.0,1.95148605663e-05,0.000111438638084,9.39519903241e-05,0
5640,4.0,3768,30.0,7.80594422653e-05,9.91501271071e-05,2.81855970972e-05,0
5670,11.0,1163,43.1818181818,0.00021466346623,3.0602865665e-05,4.057017764e-05,2
5680,2.0,2256,22.5,3.90297211326e-05,5.93637703699e-05,2.11391978229e-05,4
5710,1.0,4142,50.0,1.95148605663e-05,0.000108991461379,4.6975995162e-05,0
5750,5.0,821,122.0,9.75743028316e-05,2.16035706887e-05,0.000114621428195,7
5760,7.0,2431,142.857142857,0.000136604023964,6.396867277e-05,0.000134217129034,7
5780,11.0,1000,52.7272727273,0.00021466346623,2.63137280008e-05,4.95383221709e-05,2
5790,11.0,1023,168.181818182,0.00021466346623,2.69189437449e-05,0.000158010165545,2
5810,2.0,3723,30.0,3.90297211326e-05,9.79660093471e-05,2.81855970972e-05,0
5820,1.0,4797,100.0,1.95148605663e-05,0.00012622695322,9.39519903241e-05,0
5830,7.0,1545,25.7142857143,0.000136604023964,4.06547097613e-05,2.41590832262e-05,2
5840,5.0,1720,30.0,9.75743028316e-05,4.52596121614e-05,2.81855970972e-05,4
5850,15.0,994,50.3333333333,0.000292722908495,2.61558456328e-05,4.72891684631e-05,2
5920,4.0,3078,395.25,7.80594422653e-05,8.09936547866e-05,0.000371345241756,3
5930,5.0,826,32.0,9.75743028316e-05,2.17351393287e-05,3.00646369037e-05,4
5950,1.0,4495,50.0,1.95148605663e-05,0.000118280207364,4.6975995162e-05,0
5970,3.0,3088,36.6666666667,5.8544581699e-05,8.12567920666e-05,3.44490631188e-05,0
5980,2.0,2184,17.5,3.90297211326e-05,5.74691819538e-05,1.64415983067e-05,4
5990,22.0,835,29.5454545455,0.000429326932459,2.19719628807e-05,2.77585425958e-05,2
6010,2.0,4657,27.5,3.90297211326e-05,0.0001225430313,2.58367973391e-05,0
6030,10.0,1345,29.5,0.000195148605663,3.53919641611e-05,2.77158371456e-05,2
6040,1.0,4454,10.0,1.95148605663e-05,0.000117201344516,9.39519903241e-06,0
6060,12.0,806,35.8333333333,0.000234178326796,2.12088647687e-05,3.36661298661e-05,2
6080,2.0,1895,25.0,3.90297211326e-05,4.98645145616e-05,2.3487997581e-05,4
6090,5.0,1715,20.0,9.75743028316e-05,4.51280435214e-05,1.87903980648e-05,4
6120,2.0,3720,25.0,3.90297211326e-05,9.78870681631e-05,2.3487997581e-05,0
6130,17.0,908,31.8235294118,0.000331752629627,2.38928650248e-05,2.98988392737e-05,2
6160,3.0,2989,166.666666667,5.8544581699e-05,7.86517329945e-05,0.00015658665054,7
6180,4.0,3595,47.5,7.80594422653e-05,9.4597852163e-05,4.46271954039e-05,0
6190,5.0,2801,50.0,9.75743028316e-05,7.37047521303e-05,4.6975995162e-05,4
6200,4.0,2581,27.5,7.80594422653e-05,6.79157319702e-05,2.58367973391e-05,4
6210,2.0,2521,50.0,3.90297211326e-05,6.63369082901e-05,4.6975995162e-05,0
6230,12.0,888,23.75,0.000234178326796,2.33665904647e-05,2.2313597702e-05,2
6240,3.0,3802,76.6666666667,5.8544581699e-05,0.000100044793859,7.20298592485e-05,0
6250,12.0,1140,57.9166666667,0.000234178326796,2.9997649921e-05,5.44138610627e-05,2
6270,4.0,2043,52.5,7.80594422653e-05,5.37589463057e-05,4.93247949202e-05,4
6280,12.0,1126,33.75,0.000234178326796,2.96292577289e-05,3.17087967344e-05,2
6300,10.0,1175,30.5,0.000195148605663,3.0918630401e-05,2.86553570488e-05,2
6310,4.0,3724,45.0,7.80594422653e-05,9.79923230751e-05,4.22783956458e-05,0
6320,13.0,839,43.0769230769,0.000253693187362,2.20772177927e-05,4.04716266011e-05,2
6350,1.0,4157,50.0,1.95148605663e-05,0.000109386167299,4.6975995162e-05,0
6390,1.0,4517,15.0,1.95148605663e-05,0.00011885910938,1.40927985486e-05,0
6400,9.0,2804,30.5555555556,0.000175633745097,7.37836933143e-05,2.8707552599e-05,2
6410,7.0,1814,64.2857142857,0.000136604023964,4.77331025935e-05,6.03977080655e-05,2
6420,1.0,4235,20.0,1.95148605663e-05,0.000111438638084,1.87903980648e-05,0
6440,5.0,2918,110.0,9.75743028316e-05,7.67834583064e-05,0.000103347189357,7
6450,3.0,3379,33.3333333333,5.8544581699e-05,8.89140869148e-05,3.1317330108e-05,0
6460,1.0,4611,50.0,1.95148605663e-05,0.000121332599812,4.6975995162e-05,0
6490,2.0,1901,30.0,3.90297211326e-05,5.00223969296e-05,2.81855970972e-05,4
6520,3.0,2997,50.3333333333,5.8544581699e-05,7.88622428185e-05,4.72891684631e-05,0
6540,12.0,1084,111.25,0.000234178326796,2.85240811529e-05,0.000104521589236,2
6550,1.0,4528,30.0,1.95148605663e-05,0.000119148560388,2.81855970972e-05,0
6570,14.0,1065,29.2857142857,0.000273208047928,2.80241203209e-05,2.75145114521e-05,2
6600,3.0,4085,50.0,5.8544581699e-05,0.000107491578883,4.6975995162e-05,0
6620,7.0,810,37.8571428571,0.000136604023964,2.13141196807e-05,3.55675391941e-05,2
6630,1.0,1078,30.0,1.95148605663e-05,2.83661987849e-05,2.81855970972e-05,4
6650,11.0,1087,29.0909090909,0.00021466346623,2.86030223369e-05,2.73314880943e-05,2
6660,7.0,1013,28.5714285714,0.000136604023964,2.66558064648e-05,2.68434258069e-05,2
6670,8.0,868,41.875,0.000156118884531,2.28403159047e-05,3.93423959482e-05,2
6690,25.0,812,14.0,0.000487871514158,2.13667471367e-05,1.31532786454e-05,2
6700,4.0,3032,26.5,7.80594422653e-05,7.97832232985e-05,2.48972774359e-05,0
6710,18.0,1232,54.4444444444,0.000351267490194,3.2418512897e-05,5.11516391765e-05,2
6720,1.0,4159,50.0,1.95148605663e-05,0.000109438794755,4.6975995162e-05,0
6750,28.0,812,28.5714285714,0.000546416095857,2.13667471367e-05,2.68434258069e-05,2
6780,3.0,3354,23.3333333333,5.8544581699e-05,8.82562437148e-05,2.19221310756e-05,0
6790,15.0,1485,28.1333333333,0.000292722908495,3.90758860812e-05,2.64318266112e-05,2
6810,5.0,1533,30.0,9.75743028316e-05,4.03389450253e-05,2.81855970972e-05,4
6830,2.0,2869,20.0,3.90297211326e-05,7.54940856344e-05,1.87903980648e-05,0
6840,2.0,3760,50.0,3.90297211326e-05,9.89396172831e-05,4.6975995162e-05,0
6850,17.0,812,37.3529411765,0.000331752629627,2.13667471367e-05,3.50938316799e-05,2
6860,1.0,4157,100.0,1.95148605663e-05,0.000109386167299,9.39519903241e-05,7
6870,27.0,923,40.0,0.000526901235291,2.42875709448e-05,3.75807961296e-05,2
6910,4.0,3311,55.0,7.80594422653e-05,8.71247534108e-05,5.16735946783e-05,0
6940,8.0,803,43.125,0.000156118884531,2.11299235847e-05,4.05167958273e-05,2
6950,3.0,3879,36.6666666667,5.8544581699e-05,0.000102070950915,3.44490631188e-05,0
6960,2.0,1910,40.0,3.90297211326e-05,5.02592204816e-05,3.75807961296e-05,4
6970,5.0,810,49.0,9.75743028316e-05,2.13141196807e-05,4.60364752588e-05,4
6990,5.0,2259,30.0,9.75743028316e-05,5.94427115539e-05,2.81855970972e-05,4
7000,6.0,1769,13.3333333333,0.000117089163398,4.65489848335e-05,1.25269320432e-05,2
7010,9.0,1345,13.8888888889,0.000175633745097,3.53919641611e-05,1.3048887545e-05,2
7040,2.0,3142,200.0,3.90297211326e-05,8.26777333786e-05,0.000187903980648,7
7070,1.0,2855,15.0,1.95148605663e-05,7.51256934424e-05,1.40927985486e-05,0
7080,11.0,1093,100.0,0.00021466346623,2.87609047049e-05,9.39519903241e-05,2
7100,3.0,2876,43.3333333333,5.8544581699e-05,7.56782817304e-05,4.07125291404e-05,0
7110,6.0,1791,170.0,0.000117089163398,4.71278868495e-05,0.000159718383551,7
7120,1.0,1904,10.0,1.95148605663e-05,5.01013381136e-05,9.39519903241e-06,4
7140,1.0,1982,40.0,1.95148605663e-05,5.21538088977e-05,3.75807961296e-05,4
7160,1.0,1924,30.0,1.95148605663e-05,5.06276126736e-05,2.81855970972e-05,4
7170,10.0,800,31.0,0.000195148605663,2.10509824007e-05,2.91251170005e-05,2
7210,9.0,1364,42.2222222222,0.000175633745097,3.58919249931e-05,3.96686181368e-05,2
7220,4.0,3423,62.5,7.80594422653e-05,9.00718909469e-05,5.87199939526e-05,0
7250,2.0,4132,100.0,3.90297211326e-05,0.000108728324099,9.39519903241e-05,7
7290,6.0,1078,23.3333333333,0.000117089163398,2.83661987849e-05,2.19221310756e-05,2
7330,2.0,3521,17.5,3.90297211326e-05,9.26506362909e-05,1.64415983067e-05,0
7350,3.0,994,85.0,5.8544581699e-05,2.61558456328e-05,7.98591917755e-05,7
7360,2.0,3809,12.5,3.90297211326e-05,0.000100228989955,1.17439987905e-05,0
7400,1.0,4124,30.0,1.95148605663e-05,0.000108517814275,2.81855970972e-05,0
7420,1.0,4058,15.0,1.95148605663e-05,0.000106781108227,1.40927985486e-05,0
7430,1.0,4159,30.0,1.95148605663e-05,0.000109438794755,2.81855970972e-05,0
7440,2.0,1912,27.5,3.90297211326e-05,5.03118479376e-05,2.58367973391e-05,4
7450,4.0,1239,22.5,7.80594422653e-05,3.2602708993e-05,2.11391978229e-05,4
7470,2.0,4085,15.0,3.90297211326e-05,0.000107491578883,1.40927985486e-05,0
7480,1.0,4528,30.0,1.95148605663e-05,0.000119148560388,2.81855970972e-05,0
7490,19.0,1140,54.2105263158,0.00037078235076,2.9997649921e-05,5.09318684389e-05,2
7500,3.0,3807,60.0,5.8544581699e-05,0.000100176362499,5.63711941945e-05,0
7510,3.0,2430,30.0,5.8544581699e-05,6.3942359042e-05,2.81855970972e-05,4
7520,1.0,4438,100.0,1.95148605663e-05,0.000116780324868,9.39519903241e-05,0
7540,1.0,4528,30.0,1.95148605663e-05,0.000119148560388,2.81855970972e-05,0
7550,4.0,3430,11.25,7.80594422653e-05,9.02560870429e-05,1.05695989115e-05,0
7560,8.0,852,38.75,0.000156118884531,2.24192962567e-05,3.64063962506e-05,2
